text,context,target
"Judging from previous posts this used to be a good place, but not any longer.",RESTAURANT#GENERAL,place
"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",SERVICE#GENERAL,staff
"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",SERVICE#GENERAL,NULL
The food was lousy - too sweet or too salty and the portions tiny.,FOOD#QUALITY,food
The food was lousy - too sweet or too salty and the portions tiny.,FOOD#STYLE_OPTIONS,portions
"After all that, they complained to me about the small tip.",SERVICE#GENERAL,NULL
Avoid this place!,RESTAURANT#GENERAL,place
"I have eaten at Saul, many times, the food is always consistently, outrageously good.",FOOD#QUALITY,food
Saul is the best restaurant on Smith Street and in Brooklyn.,RESTAURANT#GENERAL,Saul
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,FOOD#QUALITY,foie gras terrine with figs
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,FOOD#QUALITY,duck confit
The wine list is interesting and has many good values.,DRINKS#STYLE_OPTIONS,wine list
The wine list is interesting and has many good values.,DRINKS#PRICES,wine list
"For the price, you cannot eat this well in Manhattan.",RESTAURANT#PRICES,NULL
"For the price, you cannot eat this well in Manhattan.",FOOD#QUALITY,NULL
I was very disappointed with this restaurant.,RESTAURANT#GENERAL,restaurant
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,SERVICE#GENERAL,cart attendant
I had to ask her three times before she finally came back with the dish Ive requested.,SERVICE#GENERAL,NULL
"Food was okay, nothing great.",FOOD#QUALITY,Food
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,FOOD#QUALITY,Chow fun
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,FOOD#QUALITY,pork shu mai
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,RESTAURANT#MISCELLANEOUS,NULL
I/we will never go back to this place again.,RESTAURANT#GENERAL,place
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",RESTAURANT#GENERAL,Fish
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",SERVICE#GENERAL,Service
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",FOOD#QUALITY,oysters
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",RESTAURANT#PRICES,NULL
You can't go wrong here.,RESTAURANT#GENERAL,NULL
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,RESTAURANT#GENERAL,Restaurant Saul
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",FOOD#QUALITY,NULL
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",SERVICE#GENERAL,service
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",AMBIENCE#GENERAL,decor
I had the duck breast special on my last visit and it was incredible.,FOOD#QUALITY,duck breast special
Can't wait wait for my next visit.,RESTAURANT#GENERAL,NULL
And I hate to say this but I doubt I'll ever go back. ,RESTAURANT#GENERAL,NULL
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD#QUALITY,food
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD#QUALITY,Thai fusion stuff
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD#QUALITY,NULL
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,FOOD#QUALITY,Grilled Chicken special with Edamame Puree
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,FOOD#QUALITY,Edamame pureed
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,FOOD#STYLE_OPTIONS,Edamame pureed
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,place
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,decor
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,vent
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",DRINKS#STYLE_OPTIONS,sake list
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",SERVICE#GENERAL,NULL
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",FOOD#QUALITY,spicy tuna roll
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",FOOD#QUALITY,rock shrimp tempura
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,SERVICE#GENERAL,service
we love th pink pony.,RESTAURANT#GENERAL,pink pony
THe perfect spot.,RESTAURANT#GENERAL,spot
Food-awesome.,FOOD#QUALITY,Food
Service- friendly and attentive.,SERVICE#GENERAL,Service
Ambiance- relaxed and stylish.,AMBIENCE#GENERAL,Ambiance
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",RESTAURANT#GENERAL,place
the food is decent.,FOOD#QUALITY,food
"however, it's the service that leaves a bad taste in my mouth.",SERVICE#GENERAL,service
"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",SERVICE#GENERAL,waiter
"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",SERVICE#GENERAL,NULL
"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",RESTAURANT#GENERAL,NULL
the last time i walked by it looked pretty empty. hmmm.,RESTAURANT#MISCELLANEOUS,NULL
This place has got to be the best japanese restaurant in the new york area.,RESTAURANT#GENERAL,place
I had a great experience.,RESTAURANT#GENERAL,NULL
Food is great.,FOOD#QUALITY,Food
Service is top notch.,SERVICE#GENERAL,Service
I have been going back again and again.,RESTAURANT#GENERAL,NULL
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",FOOD#QUALITY,sea urchin
"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",FOOD#QUALITY,NULL
The sushi seemed pretty fresh and was adequately proportioned.,FOOD#QUALITY,sushi
The sushi seemed pretty fresh and was adequately proportioned.,FOOD#STYLE_OPTIONS,sushi
The rice to fish ration was also good--they didn't try to overpack the rice.,FOOD#STYLE_OPTIONS,rice to fish ration
We took advanatage of the half price sushi deal on saturday so it was well worth it.,FOOD#QUALITY,half price sushi deal
We took advanatage of the half price sushi deal on saturday so it was well worth it.,FOOD#PRICES,half price sushi deal
Surprisingly nothing could be further from the truth.,RESTAURANT#MISCELLANEOUS,NULL
"In the evening, this place attracted a well dressed, with it, NY crowd.",RESTAURANT#MISCELLANEOUS,crowd
The food was well prepared and the service impecable.,FOOD#QUALITY,food
The food was well prepared and the service impecable.,SERVICE#GENERAL,service
I'm going back.,RESTAURANT#GENERAL,NULL
Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,AMBIENCE#GENERAL,NULL
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,FOOD#QUALITY,Prix Fixe menu
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,FOOD#STYLE_OPTIONS,Prix Fixe menu
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,FOOD#PRICES,Prix Fixe menu
I will be going back and heartily recommend it!,RESTAURANT#GENERAL,NULL
"It is terrific, as is the value.",FOOD#QUALITY,NULL
"It is terrific, as is the value.",FOOD#PRICES,NULL
"$6 and there is much tasty food, all of it fresh and continually refilled.",FOOD#STYLE_OPTIONS,food
"$6 and there is much tasty food, all of it fresh and continually refilled.",FOOD#QUALITY,food
"$6 and there is much tasty food, all of it fresh and continually refilled.",FOOD#PRICES,food
"I am not a vegetarian but, almost all the dishes were great.",FOOD#QUALITY,dishes
Go hungry and enjoy.,RESTAURANT#GENERAL,NULL
"The food here is rather good, but only if you like to wait for it.",FOOD#QUALITY,food
"The food here is rather good, but only if you like to wait for it.",SERVICE#GENERAL,NULL
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,somosas
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,chai
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,chole
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,dhosas
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,dhal
"The service varys from day to day- sometimes they're very nice, and sometimes not.",SERVICE#GENERAL,service
"The kitchen however, is almost always slow.",SERVICE#GENERAL,kitchen
"Also, specify if you like your food spicy- its rather bland if you don't.",FOOD#QUALITY,food
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",AMBIENCE#GENERAL,ambience
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",RESTAURANT#MISCELLANEOUS,NULL
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,LOCATION#GENERAL,view
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,SERVICE#GENERAL,service
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,FOOD#QUALITY,food
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,FOOD#PRICES,food
The lava cake dessert was incredible and I recommend it.,FOOD#QUALITY,lava cake dessert
"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",AMBIENCE#GENERAL,Cosette
"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",AMBIENCE#GENERAL,restaurant
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY,food
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY,French Onion soup
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#STYLE_OPTIONS,French Onion soup
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY,desserts
"However, go for the ambience, and consider the food just a companion for a trip across the world!",AMBIENCE#GENERAL,ambience
"However, go for the ambience, and consider the food just a companion for a trip across the world!",FOOD#QUALITY,food
IT WAS HORRIBLE.,RESTAURANT#GENERAL,NULL
The pizza was delivered cold and the cheese wasn't even fully melted!,FOOD#QUALITY,pizza
The pizza was delivered cold and the cheese wasn't even fully melted!,FOOD#QUALITY,cheese
It looked like shredded cheese partly done - still in strips.,FOOD#STYLE_OPTIONS,NULL
This has got to be one of the most overrated restaurants in Brooklyn.,RESTAURANT#GENERAL,NULL
The pizza is overpriced and soggy.,FOOD#QUALITY,pizza
The pizza is overpriced and soggy.,FOOD#PRICES,pizza
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY,ingredients
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY,pizza
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY,crust
"A big disappointment, all around.",RESTAURANT#GENERAL,NULL
I think I've had some the best meals of my life at minnow.,FOOD#QUALITY,meals
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",FOOD#QUALITY,seafood
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",DRINKS#STYLE_OPTIONS,wine list
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",FOOD#STYLE_OPTIONS,menu
The combination of super-fresh ingredients in the dishes are unusual but really delicious.,FOOD#QUALITY,ingredients
Worth the trip from Manhattan.,RESTAURANT#GENERAL,NULL
Best Pastrami I ever had and great portion without being ridiculous.,FOOD#QUALITY,Pastrami
Best Pastrami I ever had and great portion without being ridiculous.,FOOD#STYLE_OPTIONS,portion
My wife had the fried shrimp which are huge and loved it.,FOOD#STYLE_OPTIONS,fried shrimp
My wife had the fried shrimp which are huge and loved it.,FOOD#QUALITY,fried shrimp
"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",RESTAURANT#GENERAL,place
This place is the most Japanese it can ever get.,RESTAURANT#MISCELLANEOUS,place
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",RESTAURANT#MISCELLANEOUS,signs
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",FOOD#STYLE_OPTIONS,specials menus
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",FOOD#QUALITY,food
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",SERVICE#GENERAL,waitstaff
This place is worth an one-hour drive.,RESTAURANT#GENERAL,place
"I am so coming back here again, as much as I can.",RESTAURANT#GENERAL,NULL
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",RESTAURANT#GENERAL,Leon
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",AMBIENCE#GENERAL,Leon
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",FOOD#QUALITY,specials
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",AMBIENCE#GENERAL,atmosphere
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",FOOD#QUALITY,French bistro fare
"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",SERVICE#GENERAL,staff
Decent wine at reasonable prices.,DRINKS#QUALITY,wine
Decent wine at reasonable prices.,DRINKS#PRICES,wine
Have been dozens of times and never failed to enjoy the experience.,RESTAURANT#GENERAL,NULL
"Our teenage kids love it, too.",RESTAURANT#GENERAL,NULL
"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",RESTAURANT#GENERAL,Zucchero Pomodori
This is by far my favorite place in the neighborhood.,RESTAURANT#GENERAL,place
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",SERVICE#GENERAL,service
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",AMBIENCE#GENERAL,decor
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",FOOD#QUALITY,food
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",FOOD#STYLE_OPTIONS,portions
I'm partial to the Gnocchi.,RESTAURANT#GENERAL,Gnocchi
This place is incredibly tiny.,RESTAURANT#MISCELLANEOUS,place
They refuse to seat parties of 3 or more on weekends.,SERVICE#GENERAL,NULL
The hostess is rude to the point of being offensive.,SERVICE#GENERAL,hostess
The food was bland oily.,FOOD#QUALITY,food
I just don't understand all the hype...,RESTAURANT#GENERAL,NULL
"We have been to this place many times, and always have great food, wine, and service.",FOOD#QUALITY,food
"We have been to this place many times, and always have great food, wine, and service.",DRINKS#QUALITY,wine
"We have been to this place many times, and always have great food, wine, and service.",SERVICE#GENERAL,service
"We were worried we would have trouble getting in, but somehow managed to have a short wait.",SERVICE#GENERAL,wait
As always we had a great glass of wine while we waited.,DRINKS#QUALITY,glass of wine
"When we sat, we got great and fast service.",SERVICE#GENERAL,service
The people that work there are always so friendly you forget you are in New York sometimes.,SERVICE#GENERAL,people
Make sure you try this place as often as you can.,RESTAURANT#GENERAL,place
This is a fun restaurant to go to.,RESTAURANT#GENERAL,restaurant
The pizza is yummy and I like the atmoshpere.,FOOD#QUALITY,pizza
The pizza is yummy and I like the atmoshpere.,AMBIENCE#GENERAL,atmoshpere
But the pizza is way to expensive.,FOOD#PRICES,pizza
"A large is $20, and toppings are about $3 each.",FOOD#PRICES,NULL
"A large is $20, and toppings are about $3 each.",FOOD#PRICES,toppings
I went there for lunch and it was not as good as I expected from the reviews I read.,FOOD#QUALITY,lunch
Sauce was watery and the food didn't have much flavor.,FOOD#QUALITY,Sauce
Sauce was watery and the food didn't have much flavor.,FOOD#QUALITY,food
I don't think I would go again.,RESTAURANT#GENERAL,NULL
This place is great.,RESTAURANT#GENERAL,place
I had a huge group for my birthday and we were well taken care of.,SERVICE#GENERAL,NULL
The waitress was very patient with us and the food is phenomenal!,SERVICE#GENERAL,waitress
The waitress was very patient with us and the food is phenomenal!,FOOD#QUALITY,food
"Service was prompt, friendly and great.",SERVICE#GENERAL,Service
Slightly on the pricey side but worth it!,RESTAURANT#PRICES,NULL
Slightly on the pricey side but worth it!,RESTAURANT#GENERAL,NULL
Great pizza and fantastic service.,FOOD#QUALITY,pizza
Great pizza and fantastic service.,SERVICE#GENERAL,service
"There was a small wait, but shorter than I expected.",SERVICE#GENERAL,wait
